Date,Reagent.Date,Run,Type,Well,ID
20191030,20191030,1,Standard,A1,S.1
20191030,20191030,1,Standard,A2,S.1
20191030,20191030,1,Standard,A3,S.2
20191030,20191030,1,Standard,A4,S.2
20191030,20191030,1,Standard,A5,S.3
20191030,20191030,1,Standard,A6,S.3
20191030,20191030,1,Standard,A7,S.4
20191030,20191030,1,Standard,A8,S.4
20191030,20191030,1,Standard,A9,S.5
20191030,20191030,1,Standard,A10,S.5
20191030,20191030,1,Standard,A11,S.6
20191030,20191030,1,Standard,A12,S.6
20191030,20191030,1,Standard,B1,S.7
20191030,20191030,1,Standard,B2,S.7
20191030,20191030,1,Standard,B3,S.8
20191030,20191030,1,Standard,B4,S.8
20191030,20191030,1,Standard,B5,S.9
20191030,20191030,1,Standard,B6,S.9
20191030,20191030,1,Standard,B7,S.10
20191030,20191030,1,Standard,B8,S.10
20191030,20191030,1,,B9,ES.1567
20191030,20191030,1,,B10,ES.1615
20191030,20191030,1,,B11,ES.2193
20191030,20191030,1,,B12,ES.2738
20191030,20191030,1,,C1,189
20191030,20191030,1,,C2,189
20191030,20191030,1,,C3,33
20191030,20191030,1,,C4,33
20191030,20191030,1,,C5,353
20191030,20191030,1,,C6,353
20191030,20191030,1,,C7,69
20191030,20191030,1,,C8,69
20191030,20191030,1,,C9,361
20191030,20191030,1,,C10,NA
20191030,20191030,1,,C11,205
20191030,20191030,1,,C12,NA
20191030,20191030,1,,D1,ES.1567
20191030,20191030,1,,D2,ES.1615
20191030,20191030,1,,D3,ES.2193
20191030,20191030,1,,D4,ES.2738
20191030,20191030,1,,D5,NA
20191030,20191030,1,,D6,NA
20191030,20191030,1,,D7,NA
20191030,20191030,1,,D8,NA
20191030,20191030,1,,D9,NA
20191030,20191030,1,,D10,NA
20191030,20191030,1,,D11,NA
20191030,20191030,1,,D12,NA
20191030,20191030,1,,E1,NA
20191030,20191030,1,,E2,NA
20191030,20191030,1,,E3,NA
20191030,20191030,1,,E4,NA
20191030,20191030,1,,E5,NA
20191030,20191030,1,,E6,NA
20191030,20191030,1,,E7,NA
20191030,20191030,1,,E8,NA
20191030,20191030,1,,E9,NA
20191030,20191030,1,,E10,NA
20191030,20191030,1,,E11,NA
20191030,20191030,1,,E12,NA
20191030,20191030,1,,F1,NA
