"Sample.ID","TA","Mass"
"20190626_JUNK",2351.876623,59.8014
"20190626_CRM1",2217.698275,59.0729
"20190626_CRM2",2217.797583,59.2344
"20190703_H1_T1",1995.766932,59.6493
"20190703_H1_T2",1978.431063,59.5656
"20190703_H1_T3",1991.044044,59.3391
"20190703_H1_T4",2024.152877,59.267
"20190703_H1_T5",1995.365312,59.9062
"20190703_H1_T6",1984.322353,59.8702
"20190703_H1_T7",2021.894727,59.4575
"20190703_H1_T8",2018.717373,59.3539
"20190703_H2_T2",1986.67,59.2635
"20190626_H1_T1",2028.339569,59.4537
"20190626_H1_T2",2023.227071,59.702
"20190626_H1_T3",2016.98614,59.7687
"20190626_H1_T4",2047.59655,59.7676
"20190626_H1_T5",2013.265931,59.9624
"20190626_H1_T6",2030.066188,59.0744
"20190626_H1_T7",2038.662373,59.9046
"20190626_H1_T8",2044.72442,59.6072
"20190626_H2_T3",2024.736683,59.0845
"20190703_JUNK",2048.784217,59.0425
"20190703_CRM1",2218.48675,59.1688
"20190703_CRM2",2219.082472,59.0885
"20190709_JUNK",2052.945057,59.3409
"20190709_CRM1",2216.496535,59.1069
"20190709_CRM2",2217.793502,59.9841
"20190709_H1_T1",2014.43409,59.5845
"20190709_H1_T2",2028.289303,59.424
"20190709_H1_T3",2012.024627,59.797
"20190709_H1_T4",2025.646649,59.9017
"20190709_H1_T5",2023.638955,59.0448
"20190709_H1_T6",2036.96873,59.8074
"20190709_H1_T7",1975.039348,59.6623
"20190709_H1_T8",2031.636891,59.7583
"20190709_H2_T2",2016.096423,59.9635
"20190709_T2_tank",2097.142046,59.1802
"20190709_T1_tank",2069.272116,59.7737
"20190709_T2",2058.506974,59.9909
"20190709_T0",2060.724459,59.7342
"20190709_T1",2061.759735,59.1463
"20190714_JUNK",2059.876846,59.2684
"20190714_CRM1",2217.545001,59.0425
"20190714_CRM2",2216.579149,59.1479
"20190714_1",2065.878334,59.5504
"20190714_2",2060.55215,59.9103
"20190714_3",2059.476778,59.4817
"20190714_4",2063.12544,59.5551
"20190714_5",2065.63109,59.7487
"20190714_6",2067.11388,59.0219
"20190714_7",2066.375939,59.6526
"20190714_8",2061.993064,59.3041
"20190714_9",2063.397072,59.3512
"20190714_10",2067.599938,59.7506
"20190714_11",2068.070868,59.7546
"20190714_12",2056.67913,59.629
"20190714_13",2062.735062,59.8139
"20190714_14",2061.113439,59.8451
"20190714_15",2062.149503,59.0746
"20190714_16",2062.830827,59.3935
"20190714_17",2060.938726,59.5272
"20190714_18",2059.29774,59.6131
"20190714_19",2064.47566,59.1519
"20190714_20",2058.890219,59.8411
"20190714_21",2065.810361,59.6586
"20190714_22",2057.25012,59.9491
"20190714_23",2063.356099,59.5684
"20190714_24",2064.95902,59.3123
"20190714_25",2063.686489,59.8002
"20190714_26",2064.234453,59.4996
"20190714_27",2066.74715,59.3279
"20190714_28",2072.22943,59.7211
